PostgreSQL_Data_Type,Snowflake_Data_Type,Comments
TINYINT,TINYINT,
SMALLINT,SMALLINT,
MEDIUMINT,INTEGER,
INT/INTEGER,INTEGER,
BIGINT,BIGINT,
DECIMAL,DECIMAL,
NUMERIC,DECIMAL,
REAL,REAL,
DOUBLE PRECISION,DOUBLE PRECISION,
BOOLEAN,BOOLEAN,
CHAR/CHARACTER,CHAR,
CHARACTER VARYING,CHAR,
CHAR(n)/ CHARACTER(n),CHAR,
NAME,VARCHAR,
VARCHAR,VARCHAR,
VARCHAR(n),VARCHAR(n),
BYTEA,BINARY,
TINYTEXT,TEXT,
TEXT,TEXT,
MEDIUMTEXT,TEXT,
LONGTEXT,TEXT,
ENUM,VARCHAR,WARNING: Closest target datatype is VARCHAR
DATE,DATE,
TIME WITHOUT TIME ZONE,TIME,
TIMESTAMP WITHOUT TIME ZONE,TIMESTAMP,
ARRAY ,,ALERT: Missing datatype mapping
USER-DEFINED,,ALERT: Missing datatype mapping
TSVECTOR,VARCHAR,WARNING: Closest target datatype is VARCHAR
